店舗名,店舗電話番号,担当電話番号,メールアドレス1,メールアドレス2,メールアドレス3,N_P,PayPay,楽天Pay,auPay,メルペイ,クラウド,dメル
わいわい酒場　なにわ食道　栄伏見店,522323339,,,,,2018/11/23,,,,,,
わいわい酒場　なにわ食道　八事駅前店,528367071,,,,,2018/11/23,,,,,,
Rapport　chouette,528879613,,,,,2018/11/23,,,,,,
饂飩坊一休,528348340,,,,,2018/11/26,,,,,,
LATE　DI　MARE,522220233,,,,,2018/11/26,,,2019/04/24,,,
Italia　bar　Ponte,522280239,,,,,2018/11/26,,,,,,
源’ｓ錦店　黒毛和牛焼肉,522280489,,,,,2018/11/26,,,,,,
源’ｓ錦店　鮨・日本料理,522092333,,,,,2018/11/26,,,,,,
源’ｓ錦店　牛タンしゃぶしゃぶと肉握り源’ｓ,522280485,,,,,2018/11/26,,,,,,
串焼き源’ｓ,522011194,,,,,2018/11/26,,,,,,
焼肉源’ｓ栄町支店,522614129,,,,,2018/11/26,,,,,,
リペアデイズ,522226269,,,,,2018/11/30,2020/01/28,2020/01/28,2020/01/28,,2020/01/28,
串と一品米蔵,522183394,,,,,2018/11/30,,,,,,
FIVESTAR,524536612,,,,,2018/11/30,,,,,,
寿司と酒　十六夜,524530777,,,,,2018/11/30,,,2019/05/10,,,
THAIFOOD・DINING&BAR　マイペンライ,522010400,,,,,2018/11/30,,,2019/05/10,,,
名駅宴処　花かるた,524527730,,,,,2018/11/30,,,2019/05/10,,,
総本家　備長扇屋名駅西口店,524532070,,,,,2018/11/30,,,2019/05/10,,,
鉄板焼×串カツ　花〇商店,524527272,,,,,2018/11/30,,,2019/05/10,,,
ながさき苑,522312770,,,,,2018/11/30,,,,,,
美容室ロゼ（那古野店）,525512341,,,,,2018/12/01,,,,,,
ロゼアリュール,523616750,,,,,2018/12/01,,,,,,
ウッディストーンギターショップ,527320215,,,,,2018/12/01,,,,,,
とりまる　桜山店,528522322,,,,,2018/12/05,,,,,,
きもの五一〇杁中店,528335025,,,,,2018/12/06,,,,,,
M's Style NAIL BAR,522537767,,,,,2018/12/07,,,,,,2021/07/07
有限会社河田自動車,526268100,,,,,2018/12/07,,,,,,
ネイルズガーデン,522657715,,,,,2018/12/07,,,,,,
ネイルサロンアンジェヴォーグ,522517400,,,,,2018/12/07,,,,,,
CECILIA,529712510,,,,,2018/12/08,,,,,2019/12/24,
Lemonaid,522536462,,,,,2018/12/08,,,,,,
やきとり一直,529635028,,,,,2018/12/08,,,,,,
NEW　WAVE,526848496,,,,,2018/12/10,,,,,,
丸の内かめい,529574192,,,,,2018/12/10,,,,,,
メキシコ料理ロス・ノビオス,529328220,,,,,2018/12/10,,,,,,
ruf　hair　design,528487675,,,,,2018/12/06,,,,,,
ゆるまる治療院,522287996,,,,,2018/12/07,,,,,,
ROCHIE,528878069,,,,,2018/12/11,,,,,,
名古屋,522536625,,,,,2018/12/11,2020/01/08,,,,2020/01/08,
crea,527469683,,,,,2018/12/11,,,,,,
手もみ職人,529621288,,,,,2018/12/08,,2020/04/15,2020/04/15,,2020/04/15,
Earth　Market,8069546751,,,,,2018/12/05,,,,,,
Personal　Gym　Glanz,528876255,,,,,2018/12/13,,,,,,
神戸亭名古屋店,529310811,,,,,2018/12/13,,,2021/01/23,,,2021/01/23
木村接骨院,522535107,,,,,2018/12/13,,,,,,
手打ちそば大石,529511170,,,,,2018/12/14,,,2021/01/26,,,2021/01/26
きれいプロデュースShine,522125665,,,,,2018/12/15,,,,,,
THE男前計画,522128661,,,,,2018/12/15,,,,,,
楽陽鍼治療院（那古野店）,525620050,,yitengyingming@gmail.com,,,2018/12/17,2019/12/11,2019/12/11,,,,2019/12/11
カウンセリングオフィスうらら,525812828,,,,,2018/12/17,,,,,,
名古屋元気研究所酒場,529726315,,,,,2018/12/17,,,,,,
鉄板酒場焼酎ミュージアム,528758403,,,,,2018/12/17,,,,,,
庄内針きゅうマッサージ接骨院,525321189,,,,,2018/12/18,,,,,,
えんぎや洋品店,525314398,,,,,2018/12/18,,,,,,
ガンダーラレストラン,524834521,,,,,2018/12/18,,,,,,
いけす漁場葵店,529322229,,,,,2018/12/18,,,,,,
博多　今池本店,527335529,,,,,2018/12/18,,,,,,
博多　今池本店別館,527335529,,,,,2018/12/18,,,,,,
Lala　natural,526230660,,,,,2018/12/07,,,,,,
Hair&Relax　六甲,529716492,,,,,2018/12/19,2020/01/28,,2020/01/28,,2020/01/28,
麺匠　七福門,522227729,,,,,2018/12/19,,,,,,
ピログレス,526272334,,koueijidousha@i.softbank.jp,,,2018/12/19,,,,,,2020/07/02
your　candy,522287278,,,,,2018/12/19,,,2019/04/26,,2020/02/14,
ほるもんひとすじもくもく。新瑞橋店,528518822,,,,,2018/12/19,,,,,,
炭火ほるもんひとすじ本店,522655729,,,,,2018/12/19,,,,,,
炭火ほるもんひとすじ別邸,527311222,,,,,2018/12/19,,,,,,
焼肉きらく,523216876,,,,,2018/12/18,,,2020/12/23,,,2020/12/23
ルチア,525512828,,,,,2018/12/20,,,,,,
優楽院,522321838,,,,,2018/12/20,,,,,,
関戸歯科,529351182,,,,,2018/12/20,,,,,,
クォーコディマーレ,522597313,,,,,2018/12/20,,,,,,
御華,523230870,,,,,2018/12/20,,,,,,
珈琲工房ヒラシマ,527203265,,info@coffee-hira.com,,,2018/12/21,,2020/03/03,,,2020/03/03,
有限会社名和自動車,528327373,,,,,2018/12/21,,,2021/07/20,,,2021/07/20
からだ工房,522535900,,,,,2018/12/14,,,,,,
からだ工房栄5丁目店,522420880,,,,,2018/12/14,,,,,,
Bielle,522657461,,,,,2018/12/21,2020/03/19,,2020/03/19,,2020/03/19,
F,522127921,,,,,2018/12/21,,,,,,
チナール,522024606,,shivakhadka45@icloud.com,,,2018/12/21,,,,,2020/02/27,
ビンディカ金山2号店,523395945,,resturentbindika@gmail.com,,,2018/12/21,,2019/12/25,,,2019/12/25,
ビンディカ本店,526124473,,,,,2018/12/21,,,,,,
Epic　coffee,526845028,,,,,2018/12/22,,,,,,
オオシマ薬局,524132655,,yr-oshima@eco.ocn.ne.jp,,,2018/12/24,,2020/03/11,,,2020/03/11,
ネパル屋,522528876,,,,,2018/12/24,,,,,,
鶏飯金山バード,523311984,,,,,2018/12/25,,,,,,
鶏飯八事バード,528357877,,,,,2018/12/25,,,,,,
居酒屋くらや,522535234,,,,,2018/12/25,,,,,,
かえるの九八郎,523225731,,,,,2018/12/25,,,,,,
SoilSpa　Relaxation&BeautyPro,529555100,,,,,2018/12/25,,,,,,
SoilSpa　Luxury　Personal　Spa,522289191,,,,,2018/12/25,,,,,,
エムテックグリーンパーキング,522429696,,,,,2018/12/19,,,,,,
エムテックアイチパーキング,522419595,,,,,2018/12/19,,,,,,
エムテック吉川パーキング,524537979,,,,,2018/12/19,,,,,,
エムテック名駅パーキング,525719797,,,,,2018/12/19,,,,,,
エムテックアークロック栄パーキング,522529292,,,,,2018/12/19,,,,,,
エムテックアミーパーキング,529619696,,,,,2018/12/19,,,,,,
エムテックユーキパーキング,522041919,,,,,2018/12/19,,,,,,
エムテックヒマラヤパーキング,522519595,,,,,2018/12/19,,,,,,
エムテック六号パーキング,522319696,,,,,2018/12/19,,,,,,
エムテック広小路東新パーキング,529612929,,,,,2018/12/19,,,,,,
エムテックキッズランド大須パーキング,522424646,,,,,2018/12/19,,,,,,
エムテックロイメントパーキング,525836363,,,,,2018/12/19,,,,,,
エムテック今池パーキング,527339595,,,,,2018/12/19,,,,,,
エムテックシティポイントパーキング,529625858,,,,,2018/12/19,,,,,,
エムテックハルパーキング,527757474,,,,,2018/12/19,,,,,,
エムテック伏見パーキング,522029696,,,,,2018/12/19,,,,,,
エムテックミタニビルパーキング,524530303,,,,,2018/12/19,,,,,,
エムテック御園パーキング,522319393,,,,,2018/12/19,,,,,,
串焼き　ゆきむら金山店,526847133,,,,,2018/12/26,,,,,,
串焼き　ゆきむら,528028878,,,,,2018/12/26,,,,,,
恒川薬局本店,524591847,,,,,2018/12/27,,,,,,
ソウルズカラー,524613456,,,,,2018/12/27,,,,,,
ヘアライフ　BAZ鴨付店,524137767,,,,,2018/12/27,,,,,,
ヘアライフ　BAZ本店,524811559,,,,,2018/12/27,,,,,,
島吉,523311611,,,,,2018/12/27,,,2021/01/14,,,2021/01/14
monselvi,526844124,,,,,2018/12/27,,,,,,
薬局まいるーむ葵店,523255005,,micarewatanabe@gmail.com,,,2018/12/27,2020/01/10,2020/01/10,2020/01/10,,2020/01/10,
来い鯉,523225100,,neloff21.ak@gmail.com,,,2018/12/27,2020/01/13,2020/01/13,2020/01/13,,2020/01/13,
サロンドゥスパモナ,525328880,,,,,2018/12/28,,,,,,
スマイルデリ　覚王山店,522117885,,,,,2018/12/31,,,,,,
安心鍵一番,526534801,,kagi_ichiban@yahoo.co.jp,,,2019/01/05,,2020/03/02,2020/03/02,,2020/03/02,
陶苑しばた,529811161,,,,,2019/01/07,2020/01/29,2020/01/29,,,2020/01/29,
エポック,529375338,,,,,2019/01/08,,,,,,
ミューズ音楽観,529106700,,,,,2019/01/09,,,,,,
若杉サイクル,529812835,,wakasugi@sa.starcat.ne.jp,,,2019/01/10,2019/11/22,,2019/11/22,,2020/06/17,2019/11/22
美容室Qualite,529827014,,,,,2019/01/10,,,,,,
御菓子処おくむら,529813834,,,,,2019/01/11,,,,,,
ブティックエイト,529163749,,,,,2019/01/11,,,,,,
中華料理　品香居,529352699,,huzihan@me.com,,,2019/01/14,2020/01/16,2020/01/16,2020/01/16,,2020/01/16,
味処よこゐ,529355600,,,,,2019/01/14,2021/01/14,,2021/01/14,,,2021/01/14
ダイニングバーアッコルダトゥーラ,529710721,,,,,2019/01/14,,,,,,
ネイルサロンルッソ,9056029054,,,,,2019/01/14,,,,,,
テンペイロ,529355641,,,,,2019/01/14,,,,,,
petit　pas　hair　atelier,529133308,,,,,2019/01/11,,,,,,
DWARF,529615501,,,,,2019/01/16,,,,,,
ROSEMARY,529344187,,rosemary1995official@gmail.com,,,2019/01/23,,,2020/08/21,,,2020/08/21
我楽多文庫車道店,529792555,,,,,2019/01/23,,,,,,
a　FLower　-HAIR-,523258626,,,,,2019/01/23,,,,,,
花ごころ緑苑,526242351,,,,,2019/01/23,,,,,,
salon　de　fleur,527706646,,,,,2019/01/25,,,,,,
nailcreation,5052438763,,,,,2019/01/25,,,,,,
WITH　ALOHA,522425004,,,,,2019/01/28,,,,,,
インパール東別院,523237177,,,,,2019/01/30,,,,,,
インパール大須店,522511003,,,,,2019/01/30,,,,,,
アジアンフード大須店,522658004,,2013regmi@gmail.com,,,2019/01/30,,,,,2020/02/28,
TERAPIN　STATION,522435480,,freakst2003@gmail.com,,,2019/01/31,2020/01/11,2020/01/11,,,2020/01/11,
ZOCALO,522420029,,freakst2003@gmail.com,,,2019/01/31,2020/01/11,2020/01/11,,,2020/01/11,
代官町　YwaiCafe,529350236,,,,,2019/02/08,,,,,,
LAYER'S,529610121,,ata_takeshi@yahoo.co.jp,,,2019/02/13,,,,,2019/12/25,
和イタリアンまらっか,522121020,,,,,2019/02/14,,,,,,
錦2丁目ワイン酒場ＭＵＳＨ,522316244,,,,,2019/02/18,,,,,,
ワイン酒場ＭＵＳＨ名古屋,522286243,,,,,2019/02/18,,,,,,
中国食房咲咲,522623325,,,,,2019/02/15,,,,,,
和風居酒屋花まる,522207338,,,,,2019/02/14,,,,,2020/06/25,
中華料理茗菜縁,529718688,,,,,2019/02/22,,,,,,
カフェグリルボンジュール,522031150,,,,,2019/02/22,,,,,,
プリン工房Prineze,522215777,,seedisland.111@gmail.com,,,2019/02/22,2020/01/09,2020/01/09,,,2020/01/09,
肉米雄一飯店,522691929,,,,,2019/02/22,,,2020/03/30,,2020/03/30,
ドラード,522535215,,,,,2019/02/22,,,2020/04/17,,,2020/07/20
Door's,522232550,,,,,2019/02/26,,,,,,
A.L.C,522232550,,,,,2019/02/26,,,,,,
Luce（栄店）,526847970,,,,,2019/03/04,,,,,,
琉球王国,522517010,,sekijuku@gmail.com,,,2019/03/04,,,,,2020/02/27,
Bar　cluracham,522430088,,,,,2019/03/06,,,,,,
プロメ医粧相談所,522640816,,,,,2019/03/06,,,,,,
ヴァンモア株式会社,522431900,,,,,2019/03/06,,,,,,
ワンタン専門店吉翔,522513360,,,,,2019/03/07,,,,,,
ピュアシャイン,522420500,,,,,2019/03/07,,,,,,
天ぷら亀彦,529355641,,,,,2019/03/07,,,,,,
有限会社井上園芸店,529810583,,,,,2019/03/09,,,,,,
eco名駅店,525418739,,,,,2019/03/09,,,,,,
eco金山店,523311819,,,,,2019/03/09,,,,,,
BLOW　IN　CLOTHING,529822333,,,,,2019/03/09,2020/01/23,2020/01/23,,,2020/01/23,
カレースタンドナゴエビ,529305266,,,,,2019/03/09,,2020/02/13,2020/02/13,,2020/02/13,
GOLD,522430892,,mitu8.0801@gmail.com,,,2019/03/09,2020/01/29,,2021/07/08,,2020/01/29,
革工房ボルドー,529314802,,,,,2019/03/12,,,,,,
Vape　Shop　愛,9083397568,,,,,2019/03/12,2020/01/30,,2020/01/30,,,
肉バル　Den　Den,529506565,,,,,2019/03/12,,,,,,
株式会社tendre,522120727,,,,,2019/03/12,,,,,,
WORKAHOLIC,522614477,,nagoya@garrot.jp,,,2019/03/12,2020/01/06,2020/01/06,,,2020/01/06,
HIMALAYA　KITCHEN,522289656,,,,,2019/03/13,,,,,,
生姜ダイニングJINGER,523395011,,,,,2019/03/13,,,,,,
Teru　Cafe,529352345,,,,,2019/03/13,,,,,,2021/01/25
いたる屋,522623773,,itaruya0313@gmail.com,,,2019/03/13,,2020/02/25,2020/02/25,,2020/02/25,
美容室i:z,522291107,,,,,2019/03/14,2020/06/24,,2019/06/07,,2020/06/24,
月の庭,529356110,,,,,2019/03/15,2020/01/08,,,,2020/01/08,
桃〇,529395588,,,,,2019/03/08,,,,,2020/04/18,2020/04/18
四季味茜,522427711,,,,,2019/03/15,,,,,,
WINEBAR　beaegle,522535186,,,,,2019/03/15,,,,,2020/06/26,
かしみや,529352727,,,,,2019/03/15,,,,,,
五福橉,529626226,,ofinfin078@gmail.com,,,2019/03/15,,2020/02/29,2020/02/29,,2020/02/29,
バルーンファクトリー錦,522128638,,,,,2019/03/16,,,,,,
炭火焼鳥きずな,522536781,,,,,2019/03/16,,,,,,
ノルジャハン,522633334,,,,,2019/03/15,,,,,,
ONE　and　ONLY,523215687,,,,,2019/03/19,,,,,,
BIRDSPACE　名古屋,523315488,,,,,2019/03/20,,,,,,
ふうせん工房,523314647,,info@fusenk.com,,,2019/03/20,,2019/12/24,2019/12/24,,2019/12/24,
R1,522621456,,,,,2019/03/14,,,,,,
本格四川料理　天府,522625699,,xieguohua1978@icloud.com,,,2019/03/21,,2020/03/06,2020/03/06,,2020/03/06,
春秋　味華,523316945,,yukisakai6835@icloud.com,,,2019/03/22,,,,,2020/03/16,2019/11/25
中国料理　龍園,529629017,,,,,2019/03/22,,2020/03/11,2020/03/11,,2020/03/11,
クリーニング名古屋ランドリー,523217344,,nagoya@aikuri.net,,,2019/03/22,,,,,2019/12/23,2019/11/25
CAPONE,529619515,,,,,2019/03/22,,,,,,
WARP　HAIR,523217705,,info@warp-hair.jp,,,2019/03/24,,,2019/12/24,,2019/12/24,
インディアンカフェ,522031869,,,,,2019/03/22,,,2020/06/29,,2020/06/29,
カフェド・テンジク錦店,522041522,,,,,2019/03/22,,,2020/06/29,,2020/06/29,
カフェド天竺,522320014,,,,,2019/03/22,,,2020/06/29,,2020/06/29,
たこ焼き工房ぐるる,9072756826,,,,,2019/03/25,,,,,,
エアリーガーデン,523215556,,,,,2019/03/25,,,,,,
サヴァ・サヴァ,526828580,,,,,2019/03/26,,,,,2019/12/20,
健康回復院,526824271,,,,,2019/03/27,,,,,,
VIET　FOOD,8032818386,,,,,2019/03/27,,,,,,
mani,523318628,,,,,2019/03/27,,,,,,2019/12/20
MUA,523317132,,,,,2019/03/27,,,,,,2019/12/20
東桜とみ牛,529081129,,tomigya@gmail.com,,,2019/03/27,2020/01/20,2020/01/20,2020/01/20,,2020/01/20,
安泰楼,529510639,,,,,2019/03/27,,,,,,
海舞,523247500,,,,,2019/03/28,,,,,,
喫茶　ダンディライオン,523312405,,dande_lion_0716@icloud.com,,,2019/03/28,,,,,2019/12/23,
東京庵本店,523221831,,tsuda@js7.so-net.ne.jp,,,2019/03/28,,,2019/12/23,,2019/12/23,
呉・麻辣鴨王,522628558,,,,,2019/03/28,,,2021/07/10,,,2021/07/10
上海朱家角生煎包,522514715,,,,,2019/03/28,,,,,2020/06/23,
バンコク,522612755,,,,,2019/03/28,,,,,,
Vegetto,522659122,,,,,2019/03/29,,,,,,
二歩七,522288958,,,,,2019/03/29,,,,,,
PRIDE ONE,523312344,,info@cs-pride1.com,,,2019/03/30,2020/01/07,2020/01/07,,,2020/01/07,
Musee,522412679,,,,,2019/03/30,2020/01/06,2020/01/06,2020/01/06,,2020/01/06,
東北大冷麺,522620311,,katsushi1979@hotmail.com,,,2019/04/02,,,2020/02/21,,2020/02/21,
medical salon clear,527846676,,medical.salon.clear@gmail.com,,,2019/04/02,,,2019/12/25,,2020/03/04,
medical salon blanchir,529717557,,medical.salon.clear@gmail.com,,,2019/04/02,,,2019/12/25,,2020/03/04,
ラタナーコーシン,526848158,,orientalking142@gmail.com,,,2019/04/04,2020/01/28,,,,2020/01/28,
中国物産五福,526846428,,,,,2019/04/04,,,2020/06/05,,2020/06/05,
中国物産一家人,9029206411,,,,,2019/04/04,,,,,,
焼肉のかわよし,529620201,,,,,2019/04/10,,,,,,
麗昌,522625389,,2607893731@qq.com,,,2019/04/12,,,2020/01/16,,,
やきとりかわよし,522202121,,,,,2019/04/18,,,,,,
ATSTERRACEOKUJO,528982518,,,,,2019/04/24,,,,,,
個室Karaoke　your　Candy,522287278,,,,,2019/04/24,,,2019/04/26,,2020/02/14,
gecca,527350871,,,,,2019/04/26,,,,,,
council,522525567,,lib_ousu@yahoo.co.jp,,,2019/05/07,2020/01/16,,2020/01/16,,2020/01/16,
UNLIMITED　PLUS,526846823,,,,,2019/05/07,2020/01/09,2020/01/09,2019/05/07,,2020/01/09,
RECORD　SHOP　ZOO,522016272,,,,,2019/05/07,2020/01/08,,,,2020/01/08,
unverge fashion clothing,9033869324,,unverge214@gmail.com,,,2019/05/06,2020/01/08,2020/01/08,2019/05/06,,2020/01/08,
amuamu,522539148,,,,,2019/05/06,2020/01/17,,2019/05/06,,2020/01/17,
Fine　Sky　CREATION,9068077475,,,,,2019/05/06,,,2019/05/06,,,
ROCCO,522616587,,,,,2019/05/02,2020/01/14,,2020/01/14,,2020/01/14,
LIBERTINES'BAR,522690169,,barlibertines@gmail.com,,,2019/05/02,,2020/03/24,2020/03/24,,2020/03/24,
窯バル＆CUORE,527539050,,,,,2019/05/08,,,2019/05/08,,2020/06/22,
バウンティーソ,522030203,,,,,2019/05/08,,,2019/05/08,,2020/05/21,
＃Piece　Shop,8046875399,,,,,2019/05/08,,,2019/05/08,,2020/05/21,
ファブリマート,527227760,,,,,2019/05/08,,,2019/05/08,,2020/06/23,
Archaic,522517014,,,,,2019/05/09,,,2019/05/09,,2020/03/17,
bongout,522515778,,,,,2019/05/09,2020/01/07,2020/01/07,2019/05/09,,2020/01/07,
HAREM　STORE,522614770,,,,,2019/05/10,,,2019/05/10,,,
FULLFILL,522197211,,info@fullfill.net,,,2019/05/10,2020/01/10,2020/01/10,2019/05/10,,2020/01/10,
鉄板焼き・名物もつ鍋　花〇商店,527355715,,,,,2019/05/10,,,2019/05/10,,,
バー＆レストラン オルフェ,522115198,,d.company0928@gmail.com,,,2019/05/13,,,2019/05/13,,,2020/07/01
UN SeUL,526848620,,unseul_tsuge@icloud.com,,,2019/05/13,2020/01/08,2020/01/08,,,2020/01/08,
Relief,120332594,,,,,2019/05/13,,,,,,
GREENROOM,522519251,,crucial-shop@world.ocn.ne.jp,,,2019/05/13,,2020/03/17,2019/05/13,,2020/03/17,
BUSH　CKET,8078170807,,bush.cket@gmail.com,,,2019/05/14,2020/01/11,2020/01/11,2019/05/14,,2020/01/11,
yawn,526844253,,,,,2019/05/14,2020/01/16,,2019/05/14,,2020/01/16,
三浦刃物店,522422495,,,,,2019/05/14,,,2019/12/28,,2019/12/28,
Vanilla　BOX　Premium,522221005,,,,,2019/05/14,2020/01/17,2020/01/17,2019/05/14,,2020/01/17,
アルフォルトゥーナ,527534799,,,,,2019/05/15,,,2019/05/15,,2020/02/08,
山田餅田代本通店,527572611,,t.yamadamochi@gmail.com,,,2019/05/15,2020/01/20,,2019/05/15,,2020/01/20,2019/11/22
松葉屋,529713051,,alicechacha@icloud.com,,,2019/05/15,,,2019/05/15,,2019/12/24,
DooLittle,527620809,,tettydoolittle@gmail.com,,,2019/05/15,2019/11/22,,2019/05/15,,2020/01/20,2019/11/22
RYS,522320112,,,,,2019/05/15,,,2019/05/15,,,
Trattoria　Golyat,522185688,,,,,2019/05/17,,,2019/05/17,,,
ビストロ　レズゥドール,527811237,,,,,2019/05/17,,,,,,
茗圃,522537418,,,,,2019/05/17,,,2019/05/17,,,
CHAUTARI丸の内店,522221618,,searoseme1@gmail.com,,,2019/05/09,2019/11/29,,2019/06/07,,2020/02/27,2019/11/29
HITOYURAI　+30,522659623,,,,,2019/05/17,,,,,,
Mr.treize,522288944,,,,,2019/05/17,2020/01/10,2020/01/10,,,2020/01/10,
Bistro　Bacchus,522421178,,,,,2019/05/17,,,2019/05/17,,,
WATER7,522659429,,,,,2019/05/17,2020/01/15,,2019/05/17,,2020/01/15,
串工房 雷,525417915,,d.company0928@gmail.com,,,2019/05/13,,,2019/05/13,,,2020/07/01
UNDERFIELD,522522237,,,,,2019/05/21,,,2019/05/21,,,
PEN LAND CAFÉ,522223355,,,,,2019/05/21,,,2020/08/13,,,2020/08/13
ROAD,522630050,,office@road2009.com,,,2019/05/21,,,2019/05/21,,2020/03/05,
CERVA,526848510,,,,,2019/05/21,,,2019/05/21,,2020/05/21,
KANAYAMA TOMATO,526845884,,info@yy-japan.co.jp,,,2019/05/21,,2021/10/18,2021/10/18,,,2021/10/18
CLUB　ZION,523392331,,,,,2019/05/21,,,2019/05/21,,,
MARBLE　RECORDS,523321316,,,,,2019/05/21,,,2019/05/21,,2020/05/19,
WYOU,526847818,,,,,2019/05/23,,,2019/05/23,,,
TRAVIS,522627275,,,,,2019/05/24,2020/01/30,,2019/05/24,,2020/01/30,
LOEWS,529513530,,,,,2019/05/24,,,,,,
GROK,523322331,,,,,2019/05/16,,,2019/05/16,,2020/04/02,
Rudowa,529727855,,info@rudowa.com,,,2019/05/28,,,2019/05/28,,2020/03/11,
日本料理さかした,522640234,,rabbit5107s@yahoo.co.jp,,,2019/05/28,,2020/03/05,2019/05/28,,2020/03/05,
Bistro　Le　Bol,522640061,,,,,2019/05/28,,,2019/05/28,,,
Itsuki,526871323,,,,,2019/05/28,,,2019/05/28,,,
Spirits,522510050,,,,,2019/05/29,,,2019/05/29,,2020/05/05,
Spirits　広小路伏見店,522312312,,,,,2019/05/29,,,,,2020/05/05,
nocake.,522655991,,,,,2019/05/29,,,2020/12/04,,,2020/12/04
LOOP&LOOP,522657693,,,,,2019/05/29,,,,,,
炭火串焼館,523315052,,yakata.ryosei@sound.ocn.ne.jp,,,2019/05/29,,,,,2019/12/26,
藤味亭,523212835,,wv555ra55@icloud.com,,,2019/05/29,,,,,2019/12/27,
CHAU　TARI,527180868,,,,,2019/05/09,,,2020/09/04,,,
P-stage,522012521,,,,,2019/05/15,2020/01/29,,,,2020/01/29,
アカキン,523256608,,,,,2019/05/18,2020/01/25,,,,2020/01/25,
